,title,opn_wknd,gross,budget,runtime,directors,writers,cast,PG,PG-13,R,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,days,dir_rank,wri_rank,cast_rank
30,Star Wars: Episode III - Revenge of the Sith,108435841.0,3802.70577,1130.0,140.0,['George Lucas'],['George Lucas'],"['Ewan McGregor', 'Natalie Portman', 'Hayden Christensen', 'Ian McDiarmid', 'Samuel L. Jackson', 'Jimmy Smits', 'Frank Oz', 'Anthony Daniels', 'Christopher Lee', 'Keisha Castle-Hughes', 'Silas Carson', ""Jay Laga'aia"", 'Bruce Spence', 'Wayne Pygram', 'Temuera Morrison']",0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5624,1034,2208,17723
31,The Lord of the Rings: The Return of the King,72629713.0,3778.45905,940.0,201.0,['Peter Jackson'],"['J.R.R. Tolkien', 'Fran Walsh']","['Noel Appleby', 'Ali Astin', 'Sean Astin', 'David Aston', 'John Bach', 'Sean Bean', 'Cate Blanchett', 'Orlando Bloom', 'Billy Boyd', 'Sadwyn Brophy', 'Alistair Browning', 'Marton Csokas', 'Richard Edge', 'Jason Fitch', 'Bernard Hill']",0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6143,1001,2196,17412
32,Spider-Man 2,88156227.0,3735.85825,2000.0,127.0,['Sam Raimi'],"['Stan Lee', 'Steve Ditko']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Alfred Molina', 'Rosemary Harris', 'J.K. Simmons', 'Donna Murphy', 'Daniel Gillies', 'Dylan Baker', 'Bill Nunn', 'Vanessa Ferlito', 'Aasif Mandvi', 'Willem Dafoe', 'Cliff Robertson', 'Ted Raimi']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5947,1008,2267,17581
33,Deadpool,132434639.0,3630.70709,580.0,108.0,['Tim Miller'],"['Rhett Reese', 'Paul Wernick']","['Ryan Reynolds', 'Karan Soni', 'Ed Skrein', 'Michael Benyaer', 'Stefan Kapicic', 'Brianna Hildebrand', 'Style Dayne', 'Kyle Cassie', 'Taylor Hickson', 'Ayzee', 'Naika Toussaint', 'Randal Reeder', 'T.J. Miller', 'Isaac C. Singleton Jr.', 'Morena Baccarin']",0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1703,1053,2195,17777
34,Furious 7,147187040.0,3530.0702,1900.0,137.0,['James Wan'],"['Chris Morgan', 'Gary Scott Thompson']","['Vin Diesel', 'Paul Walker', 'Jason Statham', 'Michelle Rodriguez', 'Jordana Brewster', 'Tyrese Gibson', 'Ludacris', 'Dwayne Johnson', 'Lucas Black', 'Kurt Russell', 'Nathalie Emmanuel', 'Elsa Pataky', 'Gal Gadot', 'John Brotherton', 'Luke Evans']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2018,991,2229,17662
35,Transformers: Dark of the Moon,97852865.0,3523.90543,1950.0,154.0,['Michael Bay'],['Ehren Kruger'],"['Shia LaBeouf', 'Rosie Huntington-Whiteley', 'Josh Duhamel', 'John Turturro', 'Tyrese Gibson', 'Patrick Dempsey', 'Frances McDormand', 'John Malkovich', 'Kevin Dunn', 'Julie White', 'Alan Tudyk', 'Ken Jeong', 'Glenn Morshower', 'Lester Speight', 'Buzz Aldrin']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3392,1010,2134,17677
36,American Sniper,633456.0,3501.26372,588.0,133.0,['Clint Eastwood'],"['Jason Hall', 'Chris Kyle']","['Bradley Cooper', 'Kyle Gallner', 'Cole Konis', 'Ben Reed', 'Elise Robertson', 'Luke Sunshine', 'Troy Vincent', 'Brandon Salgado Telis', ""Keir O'Donnell"", 'Marnette Patterson', 'Jason Hall', 'Billy Miller', 'Leonard Roberts', 'Jason Walsh', 'Reynaldo Gallegos']",0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2095,272,102,16306
37,The Lord of the Rings: The Two Towers,62007528.0,3425.51365,940.0,179.0,['Peter Jackson'],"['J.R.R. Tolkien', 'Fran Walsh']","['Bruce Allpress', 'Sean Astin', 'John Bach', 'Sala Baker', 'Cate Blanchett', 'Orlando Bloom', 'Billy Boyd', 'Jed Brophy', 'Sam Comery', 'Brad Dourif', 'Calum Gittins', 'Bernard Hill', 'Bruce Hopkins', 'Paris Howe Strewe', 'Christopher Lee']",0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6507,1001,2196,17412
38,The Hunger Games: Mockingjay - Part 1,121897634.0,3371.35885,1250.0,123.0,['Francis Lawrence'],"['Peter Craig', 'Danny Strong']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Donald Sutherland', 'Philip Seymour Hoffman', 'Julianne Moore', 'Willow Shields', 'Sam Claflin', 'Elizabeth Banks', 'Mahershala Ali', 'Jena Malone', 'Jeffrey Wright', 'Paula Malcomson', 'Stanley Tucci']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2151,1058,2240,17785
39,Spider-Man 3,151116516.0,3365.30303,2580.0,139.0,['Sam Raimi'],"['Sam Raimi', 'Ivan Raimi']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Thomas Haden Church', 'Topher Grace', 'Bryce Dallas Howard', 'Rosemary Harris', 'J.K. Simmons', 'James Cromwell', 'Theresa Russell', 'Dylan Baker', 'Bill Nunn', 'Bruce Campbell', 'Elizabeth Banks', 'Ted Raimi']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4909,1008,2175,17509
